2016-04-04 23:41:29,432 - INFO - 1411:Dummy-50 - zato_scheduler:22 - Job executed `zato.stats.aggregate-by-minute`, `{u'interval_in_seconds': 60.0, u'name': u'zato.stats.aggregate-by-minute', u'current_run': 5, u'cid': u'K07EKJKEYKVWD7PSJKGJHPGKNRD4', u'start_time': '2016-04-04T21:37:28.748768', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.aggregate-by-minute', u'extra': ''}, u'type': u'interval_based', u'id': 2}`
2016-04-04 23:41:42,391 - INFO - 1411:Dummy-51 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 19, u'cid': u'K06NT9WHBYK967DPDKRZQHS1Q7WD', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:41:42,419 - INFO - 1411:Dummy-52 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 20, u'cid': u'K051DA6YQX1ZZHEDE641V3JNQNM0', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:42:12,392 - INFO - 1411:Dummy-54 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 21, u'cid': u'K07128EWSM15YGW2ZFC5DCX8W1NY', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:42:12,420 - INFO - 1411:Dummy-55 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 22, u'cid': u'K05TSMDRE5MFT3E3GVMT6JTCPXPH', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:42:29,433 - INFO - 1411:Dummy-57 - zato_scheduler:22 - Job executed `zato.stats.aggregate-by-minute`, `{u'interval_in_seconds': 60.0, u'name': u'zato.stats.aggregate-by-minute', u'current_run': 6, u'cid': u'K075PCSETZ17WGW34N84C48DBFV6', u'start_time': '2016-04-04T21:37:28.748768', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.aggregate-by-minute', u'extra': ''}, u'type': u'interval_based', u'id': 2}`
2016-04-04 23:42:29,445 - INFO - 1411:Dummy-58 - zato_scheduler:22 - Job executed `zato.stats.process-raw-times`, `{u'interval_in_seconds': 90.0, u'name': u'zato.stats.process-raw-times', u'current_run': 4, u'cid': u'K06VF9XRDME71D8H83RNXA4RR6GC', u'start_time': '2016-04-04T21:37:58.697253', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.process-raw-times', u'extra': 'max_batch_size=99999'}, u'type': u'interval_based', u'id': 1}`
2016-04-04 23:42:29,504 - INFO - 1411:Dummy-59 - zato_scheduler:22 - Job executed `zato.outgoing.sql.auto-ping`, `{u'interval_in_seconds': 180.0, u'name': u'zato.outgoing.sql.auto-ping', u'current_run': 2, u'cid': u'K05PSDPXP46G8N64H0EZBH9BYX90', u'start_time': '2016-04-04T21:39:28.793005', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.outgoing.sql.auto-ping', u'extra': ''}, u'type': u'interval_based', u'id': 10}`
2016-04-04 23:42:42,393 - INFO - 1411:Dummy-61 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 23, u'cid': u'K0538B034CK2H094C80WYJBZNK8M', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2016-04-04 23:42:42,421 - INFO - 1411:Dummy-62 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 24, u'cid': u'K04DQZ6G5B9W22JQ73XYM7989X6W', u'start_time': '2016-04-04T21:37:11.735008', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:2;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
